zinc_id,smiles
ZINC000003927822,O=C1N(C[C@H]2[C@H](C[NH+]3CCN(c4nsc5c4cccc5)CC3)CCCC2)C(=O)[C@@H]2[C@H]1[C@@H]1C[C@H]2CC1
ZINC000002008866,Fc1c(N2CCOCC2)ccc(N2C(=O)O[C@@H](CNC(=O)C)C2)c1
ZINC000150338698,O=C(N/C=C/1\C(=O)N[C@@H]([C@@H]2NC(N)=[NH+]CC2)C(=O)NC[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CNC(=O)C[C@@H]([NH3+])CCC[NH3+])C(=O)N\1)N
ZINC000028957444,S(CCC)c1nc(N[C@H]2[C@H](c3cc(F)c(F)cc3)C2)c2nnn([C@H]3[C@H](O)[C@H](O)[C@@H](OCCO)C3)c2n1
ZINC000001530938,Clc1c(C(=O)OCC[NH+](CC)CC)ccc(N)c1
ZINC000000537795,S(=O)(=O)(N=C([O-])NC1CCCCC1)c1ccc(CCNC(=O)c2ncc(C)nc2)cc1
ZINC000001530948,O=C1[C@H](N2C(=O)c3c(C2=O)cccc3)CCC(=O)N1
ZINC000001895505,O(CC[NH+]1CCCCCC1)c1ccc(Cn2c(c(C)c3c2ccc(O)c3)-c2ccc(O)cc2)cc1
ZINC000003938751,O=C(CO)[C@]12[C@]3(C)[C@H]([C@H]4[C@H]([C@@H](O)C3)[C@]3(C)C(=CC(=O)C=C3)CC4)C[C@H]1O[C@@H](CCC)O2
ZINC000004213946,Fc1cc2c(O[C@H]([C@@H](O)C[NH2+]C[C@@H](O)[C@H]3Oc4c(cc(F)cc4)CC3)CC2)cc1
ZINC000000049153,OCCc1c(C)[n+](Cc2c(N)nc(C)nc2)cs1
ZINC000006920384,OCCCCCCCCCCCCCCCCCCCCCC
ZINC000022010375,C[NH+]1[C@H](C)[C@@H](c2ccccc2)OCC1
ZINC000001532526,O=C([O-])[C@@H]([NH3+])CCC(=O)N
ZINC000003807804,Clc1c(C(n2cncc2)(c2ccccc2)c2ccccc2)cccc1
ZINC000003929022,P(=O)(OCOC(=O)OC(C)C)(OCOC(=O)OC(C)C)CO[C@@H](Cn1c2ncnc(N)c2nc1)C
ZINC000003831282,O=C(N[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12)COc1ccccc1
ZINC000013912394,FC(F)(/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)OC(C)C)[C@@H](O)C[C@H]1O)COc1ccccc1
ZINC000003918138,O=C(N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1NC(=[NH2+])N)C
ZINC000018516586,S(=O)(=O)(Nc1cc2c([nH]c(C(=O)N3CCN(c4c(NC(C)C)cccn4)CC3)c2)cc1)C
ZINC000002539827,O=C1NC(N)=NC=2NC[C@@H]([C@@H](O)[C@@H](O)C)NC1=2
ZINC000026011099,O=C(O[C@@H]1C(OC)=C[C@]23[NH+](CCc4c([C@H]12)cc1OCOc1c4)CCC3)[C@](O)(CC(=O)OC)CCCC(O)(C)C
ZINC000001997127,O=C1[C@@H](N2C(=O)c3c(c(N)ccc3)C2)CCC(=O)N1
ZINC000019168887,O=C([O-])[C@@]([NH2+]N)(Cc1cc(O)c(O)cc1)C
ZINC000000538273,Fc1c(N2CC[NH+](C)CC2)c2OC[C@H](C)N3c2c(C(=O)C(C(=O)[O-])=C3)c1
